Dataset,Subclass,Lead,Importance,Std
A,AMI,I,0.09090850630692336,0.009065911436645672
A,AMI,II,0.07601555683156669,0.012543517875033789
A,AMI,III,0.06384908325020752,0.021328036349401967
A,AMI,aVR,0.09187527955253856,0.012493105516475003
A,AMI,aVL,0.05338507319991237,0.014458643697434569
A,AMI,aVF,0.05899080412627296,0.018984258752086366
A,AMI,V1,0.09044324197551457,0.02300187947505531
A,AMI,V2,0.1401499428226391,0.04283930335594344
A,AMI,V3,0.10573401564316218,0.02887810573900304
A,AMI,V4,0.05861730175854666,0.01945836458240851
A,AMI,V5,0.0586446065906874,0.02273478840521894
A,AMI,V6,0.11138658794202864,0.013657136257033319
A,IMI,I,0.09003111783721536,0.021450012806834985
A,IMI,II,0.07960520060642481,0.0150435323204125
A,IMI,III,0.11374853945153718,0.026709531383002173
A,IMI,aVR,0.08735111179160054,0.0185120146969901
A,IMI,aVL,0.07421466347701378,0.020301542220477527
A,IMI,aVF,0.09079062530278006,0.01428133970175394
A,IMI,V1,0.08133947326705537,0.022636421856088954
A,IMI,V2,0.10915083450830557,0.030619932352809
A,IMI,V3,0.07568859907532127,0.020012903845450968
A,IMI,V4,0.056270445748514586,0.030103534590699463
A,IMI,V5,0.04103220869768422,0.018922736241062277
A,IMI,V6,0.10077718023654725,0.046731368979552074
C,AMI,I,0.05521704617620948,0.011696906690780844
C,AMI,II,0.08092480208642198,0.006249215450061774
C,AMI,III,0.06703275626512159,0.0232364021780754
C,AMI,aVR,0.08007730348614786,0.005849041200558912
C,AMI,aVL,0.05239371000094606,0.008720130823634212
C,AMI,aVF,0.08374523284615934,0.030564929505309115
C,AMI,V1,0.09377438806712635,0.027253495947914097
C,AMI,V2,0.14267791776425393,0.017745508548968378
C,AMI,V3,0.10505314697986201,0.014199580432506752
C,AMI,V4,0.11468230176382141,0.0398699032221322
C,AMI,V5,0.06520453687821423,0.018352151458845813
C,AMI,V6,0.05921685768571573,0.008698709828135984
C,IMI,I,0.07295274165682926,0.01774587283766923
C,IMI,II,0.08657167519925121,0.012321155580241471
C,IMI,III,0.09025456699581566,0.004434105145123548
C,IMI,aVR,0.08311061151431595,0.006450590015126936
C,IMI,aVL,0.07374470489214047,0.015239570107917435
C,IMI,aVF,0.094908142492023,0.019166435589776966
C,IMI,V1,0.0851429010262733,0.041395526524852184
C,IMI,V2,0.11433542334369558,0.03797608984779215
C,IMI,V3,0.08269937848491841,0.020683455863497822
C,IMI,V4,0.08083739845614726,0.024698260374433057
C,IMI,V5,0.06430093988255209,0.010720103985713651
C,IMI,V6,0.07114151605603779,0.015760519653088473
D,AMI,I,0.07899299165502771,0.00917172295236052
D,AMI,II,0.08272893950511205,0.013280556703702404
D,AMI,III,0.0768369219693815,0.023107457334752418
D,AMI,aVR,0.08423946210738203,0.007801384362946332
D,AMI,aVL,0.06792153135250742,0.017615586608019693
D,AMI,aVF,0.07262309914548808,0.0170987833852312
D,AMI,V1,0.08790184358484543,0.018845464720450924
D,AMI,V2,0.08145945285749394,0.029106595696629777
D,AMI,V3,0.10103576089292798,0.03647875397557267
D,AMI,V4,0.09437968182634128,0.0301527827128636
D,AMI,V5,0.0769264967841293,0.019452543090378645
D,AMI,V6,0.09495381831936323,0.03647766909052511
D,IMI,I,0.08490932569572233,0.027404728993895667
D,IMI,II,0.062247433468804944,0.009823684943849512
D,IMI,III,0.08418060886164505,0.026694722591678155
D,IMI,aVR,0.06985435284743187,0.01181833839561919
D,IMI,aVL,0.08340602669197479,0.014369611677240287
D,IMI,aVF,0.061071007896086806,0.013475563058101117
D,IMI,V1,0.12003522432194394,0.049598298907129766
D,IMI,V2,0.1216274885613338,0.027317762323902907
D,IMI,V3,0.07384842258171312,0.007865516911583232
D,IMI,V4,0.08710491943245541,0.028534365426619628
D,IMI,V5,0.059766817362503596,0.021125419926247318
D,IMI,V6,0.09194837227838426,0.02904775047008372
